Night-Night Forest Friends,Annie Bach,Board,Aunt Stacey,,
Nursery Rhymes well-loved verses to share,Susie Lacome,Hardback,,,
"Oh, the Places You’ll Go!",Dr. Seuss,Hardback,Baby Shower Book,,
On the Night You Were Born,Nancy Tillman,Board,,,
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,Hardback,,,
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,Hardback,,,
Pajama Time!,Sandra Boynton,Board,Sarah & Jim Heggie ,,
"Pancakes, Pancakes!",Eric Carle ,Board,Mom & Dad,,
Pat the Bunny,Dorothy Kunhardt,Board,Mom & Dad,,
Peak Inside Dinosaurs ,Usborne,Board,,,
Peanuts Holidays Through The Year Five Classic Stories,Schulz,Hardback ,Mom & Dad,,
"Peck, Peck, Peck",Lucy Cousins,Board,,,
Peek-a-Who?,Nina Laden,Board,Mom & Dad,,
Peter Rabbit: A Present for Mom,F. Warne & Co. ,Paperback ,,,
Pond Life,Reid,Paperback,Dad,,
Pop-Up Peekaboo! Baby Dinosaur,DK,Board,,,
Press Here,Hervè Tullet,Hardback,Mom & Dad,,
Pride & Prejudice,Jennifer Adams,Board,Mom & Dad,,
Reindeer’s Nosy Christmas,Make believe ideas,Board,Grandma & Papa Orf ,,
Reptiles and Amphibians ,Zim & Smith,Paperback,Dad,,
Rex Wrecks It!,Ben Clanton ,Board ,Grandma & Papa Orf ,,
Ribbit!,Folgueira & Bernatene,Hardback,,,
Richard Scarry’s Seek and Find!,Sizzle Press,Hardback  ,,,
Rocks and Minerals,Zim & Shaffer,Paperback,Dad,,
Romeo & Juliet,Jennifer Adams,Board,Mom & Dad,,
Rooster’s Off to See the World,Eric Carle ,Board,Mom & Dad,,
Rudolph The Red-Nosed Reindeer,Robert L. May,Board,,,
Sheep in a Jeep ,Shaw & Apple,Board,Mom,,
Sherlock Holmes in The Hound of the Baskervilles,Jennifer Adams,Board,Mom & Dad,,
Sleepy Time Blessings,Sally Anne Conan,Board ,,,
Snack Attack,Innovative Kids,Board ,,,
Snuggle Puppy! A little love song,Sandra Boynton,Board,,,
So Mūde Und Hellwach,Susanne Straber ,Hardback,Mom & Dad,,
Sweet Dream Bedtime Stories: 6 delightful stories for bedtime reading,Parragon,Hardback,Aunt Cathy & Uncle Vern,,
Ten on the Sled,Kim Norman,Board,,,
"Tenggren’s Tawny Scrawny Lion, the jolly barnyard, Tootle",Golden Books Classic Collection,Hardback,,,
That’s not my meerkat…,Usborne,Touchy-Feely ,Aunt Kathy,,
That’s not my reindeer its body is too furry,Fiona Watt & Rachel Wells,Touch and Feel,,,
The 50 States,Gabrielle Balkan,Hardback,Mom & Dad,,
The Adventures of Beeckle: The Unimaginary Friend  ,Dan Santat,Hardback ,"Stephanie, Justin, Murray & Matilda",,
The Babies and Doggies Book,John & Molly,Board,,,
The Baby Biochemist Vol. 1 DNA,Margot Alesund,Paperback,Laura (Lola) Brown,,
The Baby Biochemist Vol. 2 RNA,Margot Alesund,Paperback,Laura (Lola) Brown,,
The Baby Owner’s Manual ,"Louis Borgenicht, M.D. & Joe Borgenicht, D.A.D.",Paperback,,,
The Berenstain Bears Mother’s Day Blessings ,Mike Berenstain,Paperback,Nana & Papa Dansby,,
The Cat in the Hat,Dr. Seuss,Hardback,,,
The Cheerios Play Book,Little Simon ,Board ,Mom & Dad ,,
The Elf on the Shelf A Christmas Tradition,Carol V. Aebersold & Chanda A. Bell,Hardback,Aunt Cathy & Uncle Vern,,
The Foolish Tortoise,Eric Carle ,Board,Mom & Dad,,
The Gallaudet Children’s Dictionary of American Sign Language ,,Hardback  ,Mom,,
The Going to Bed Book,Sandra Boynton,Board ,Sarah & Jim Heggie ,,
The Greedy Python,Eric Carle ,Board,Mom & Dad,,
The Gruffalo,Julia Donaldson & Axel Scheffler,Paperback,Mom & Dad,,
The Joy of A Peanuts Christmas,Schulz,Hardback,Mom,,
The Jungle Book,Jennifer Adams,Board,Mom & Dad,,
The Little Book of Train Stories ,Stephen Cartwright & Heather Amery,Board ,,,
The Little Boy Who Lost His Name,David Cadji-Newby & Pedro Serapicos,Paperback ,Mom & Dad,,
The Little Red Robot,Rich Frog,Cloth,,,
The Magnificent Book of Animals,Val Walerczuk,Hardback,,,
The Magnificent Book of Dinosaurs,Tom Jackson,Hardback,Mom & Dad,,
The Magnificent Book of Ocean Creatures ,Tom Jackson,Hardback,Uncle Dan & Aunt Sheila ,,
The Mitten ,Jan Brett,Board ,,,
The Night Before Christmas,Clement C. Moore,Board,Mom & Dad,,
The Night Sky ,Driscoll & Hamilton,Hardback,Auntie Stacey,,
The Night Train ,Stark & Bergman,Hardback,,,
The Owl Goes on Holiday,Ulf Stark,Hardback,,,
The Pout-Pout Fish,Diesen & Hanna ,Board,Nana & Papa Dansby,,
The Rainbow Fish,Marcus Pfister,Hardback,"Shane, Katie & Khloe",,
The Real Mother Goose ,Rand McNally,Hardback,Nana & Papa Dansby,,
The Runaway Bunny,Margaret Wise Brown & Clement Hurd,Board,,,
The Snowy Day,Ezra Jack Keats,Paperback,"Sean, Ying, Grayson",,
The Story of Babar the little elephant,Jean de Brunhoff,Hardback,,,
The Tiny Seed,Eric Carle ,Board,Mom & Dad,,
The Velveteen Rabbit,Margery Williams ,Hardback,"Emily Jaeger, Bugati & Pirelli",,
The Wonderful Things You Will Be,Emily Winfield Martin,Hardback,,,
The Wonderful Wizard of Oz,Jennifer Adams,Board,Mom & Dad,,
The Wonky Donkey,Smith & Cowley,Paperback,Grandma & Papa Orf ,,
The World of Christopher Robin ,A.A. Milne,Paperback,,,
The World of Pooh,Milne & Shepard,Paperback,,,
There Berenstain Bears Trick or Treat,Stan & Jan Berenstain,Paperback,,,
There’s an Octopus under my bed,Ross & Blase,Hardback,Nana & Papa Dansby,,
Thermo-dynamics!,Ruth Spiro,Board,Grandma & Papa Orf ,,
Thidwick The Big-Hearted Moose ,Dr. Seuss,Hardback,Grandma & Papa Orf ,,
Things That GO!,Stephan Lomp,Indestructibles,Mom ,,
Those Darn Squirrels!,Adam Rubin,Paperback ,Joey Egan,,
Three Little Dinosaurs,Charles Fuge,Hardback,Grandma Orf ,,
"Toes, Ears, & Nose!",Marion Dane Bauer,Board,Mom & Dad,,
Too Many Carrots ,Katy Hudson,Board,Mom & Dad,,
Trees,Zim & Martin,Paperback,Dad,,
Trotro in Paris ,Benedicte Guettier,Board,Mom & Dad,,
Tuck Me In!,Dean Hacohen & Sherry Scharschmidt,Hardback,,,
Venomous Animals,Brodie,Paperback,Dad,,
Walter the Baker ,Eric Carle ,Board,Mom & Dad,,
Welcome Little One (a love letter to you),Sandra Magsamen,Board,,,
What Are Little Boys Made Of?,Little Bird,Board,,,
When I Grow Up,Emma Dodd,Hardback  ,Mom ,,
Where is Baby’s Belly Button?,Karen Katz,Board,Mom & Dad,,
Where is Baby’s Mommy?,Karen Katz,Board,Mom & Dad,,
Where The Wild Things Are,Maurice Sendak,Hardback,Papa Dansby ,,
White on Black ,Tana Hoban,Board ,Laura & Mike Ness,,
Who’s in the Ocean?,Innovative Kids,Poke-A-Dot!,Mom,,
WILD,Kainen & Wollard ,Hardback,Mom,,
Yellow Copter,Kersten Hamilton,Hardback,,,
Your Baby’s First Word Will Be Dada,Jimmy Fallon,Board,,,
